order_id,eligibility,order_type
1,"['F16', 'F17', 'F18', 'F19', 'F20']",real
2,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
3,"['F16', 'F17', 'F18', 'F19', 'F20']",real
4,"['F16', 'F17', 'F18', 'F19', 'F20']",real
5,"['F18', 'F19', 'F20']",real
6,"['F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
7,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
8,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
9,"['F18', 'F19', 'F20']",real
10,"['F18', 'F19', 'F20']",real
11,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
12,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
13,"['F16', 'F17', 'F18', 'F19', 'F20']",real
14,"['F18', 'F19', 'F20']",real
15,"['F17', 'F18', 'F19', 'F20']",real
16,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
17,"['F17', 'F18', 'F19', 'F20']",real
18,"['F16', 'F17', 'F18', 'F19', 'F20']",real
19,"['F16', 'F17', 'F18', 'F19', 'F20']",real
20,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
21,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
22,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
23,"['F18', 'F19', 'F20']",real
24,"['F17', 'F18', 'F19', 'F20']",real
25,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
26,"['F18', 'F19', 'F20']",real
27,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
28,"['F16', 'F17', 'F18', 'F19', 'F20']",real
29,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
30,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
31,"['F16', 'F17', 'F18', 'F19', 'F20']",real
32,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
33,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
34,"['F18', 'F19', 'F20']",real
35,"['F17', 'F18', 'F19', 'F20']",real
36,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
37,"['F16', 'F17', 'F18', 'F19', 'F20']",real
38,"['F18', 'F19', 'F20']",real
39,"['F17', 'F18', 'F19', 'F20']",real
40,"['F17', 'F18', 'F19', 'F20']",real
41,"['F17', 'F18', 'F19', 'F20']",real
42,"['F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
43,"['F17', 'F18', 'F19', 'F20']",real
44,"['F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
45,"['F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
46,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
47,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
48,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
49,"['F18', 'F19', 'F20']",real
50,"['F16', 'F17', 'F18', 'F19', 'F20']",real
51,"['F18', 'F19', 'F20']",real
52,"['F17', 'F18', 'F19', 'F20']",real
53,"['F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
54,"['F1', 'F2', 'F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
55,"['F18', 'F19', 'F20']",real
56,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
57,"['F16', 'F17', 'F18', 'F19', 'F20']",real
58,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
59,"['F16', 'F17', 'F18', 'F19', 'F20']",real
60,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
61,"['F18', 'F19', 'F20']",real
62,"['F17', 'F18', 'F19', 'F20']",real
63,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
64,"['F17', 'F18', 'F19', 'F20']",real
65,"['F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
66,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
67,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
68,"['F16', 'F17', 'F18', 'F19', 'F20']",real
69,"['F17', 'F18', 'F19', 'F20']",real
70,"['F17', 'F18', 'F19', 'F20']",real
71,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
72,"['F17', 'F18', 'F19', 'F20']",real
73,"['F17', 'F18', 'F19', 'F20']",real
74,"['F18', 'F19', 'F20']",real
75,"['F16', 'F17', 'F18', 'F19', 'F20']",real
76,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
77,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
78,"['F17', 'F18', 'F19', 'F20']",real
79,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
80,"['F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
81,"['F17', 'F18', 'F19', 'F20']",real
82,"['F16', 'F17', 'F18', 'F19', 'F20']",real
83,"['F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
84,"['F18', 'F19', 'F20']",real
85,"['F18', 'F19', 'F20']",real
86,"['F17', 'F18', 'F19', 'F20']",real
87,"['F3', 'F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
88,"['F16', 'F17', 'F18', 'F19', 'F20']",real
89,"['F4', 'F5', 'F6', 'F7', 'F8', 'F9', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
90,"['F16', 'F17', 'F18', 'F19', 'F20']",real
91,"['F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F19', 'F20']",real
92,"['F16', 'F17', 'F18', 'F19', 'F20']",real
93,"['F18', 'F19', 'F20']",real
